Word,Definition
농업기반공사및농지관리기금법(農業基盤公社및農地管理基金法),"농업기반공사및농지관리기금법(農業基盤公社및農地管理基金法) 농업기반공사를 설립하고 농지관리기금을 설치하여 농어촌정비사업을 시행하고 농업기반시설을 종합관리하며 농업인의 영농규모적정화를 촉진함으로써 농업생산성을 증진시키고, 농어촌의 경제ㆍ사회적 발전에 이바지함을 목적으로 제정된 ..."
농업생산기반시설(農業生産基盤施設),"농업생산기반시설(農業生産基盤施設) 농업생산기반시설이라 함은 농업생산기반정비사업으로 설치되거나 기타 농지의 보전이나 농업생산에 이용되는 저수지(농어촌용수의 확보를 목적으로 하천, 하천구역 또는 연안구역등에 물을 저류 또는 관리하기 위한 시설, 홍수면 및 수면부지를 말한다), 양수..."
농업인(農業人) = 농민(農民),"농업인(農業人) = 농민(農民) 농업인이라 함은 농업에 종사하는 자로서 다음의 기준중 하나에 해당하는 자를 말한다(농업ㆍ농어촌기본법 제3조 및 시행령 제3조). 
1. 1천제곱미터 이상의 농지(농어촌정비법 제83조제1항제2호의 규정에 의한 비농업인이 동항 본문의 규정에 의하여 분양 또는 ..."
농업협동조합법(農業協同組合法),"농업협동조합법(農業協同組合法) 농업인의 자주적인 협동조직을 바탕으로 농업인의 경제적ㆍ사회적ㆍ문화적 지위의 향상과 농업의 경쟁력강화를 통하여 농업인의 삶의 질을 높이고, 국민경제의 균형있는 발전에 이바지함을 목적으로 1961.7.29 법률제670호로 제정된 법률이다. 지역농업협동조합과 ..."
농지 임대차·사용대차,"임대차ㆍ사용대차 
농지의 임대차ㆍ사용대차란 농지의 소유자가 유상 또는 무상으로 상대방에게 농지를 사용ㆍ수익하게 할 것을 약정하는 계약을 말합니다. 
 
 임대차·사용대차 
 
- “농지의 임대차”란 농지의 소유자(임대인)가 상대방에게 농지(임대물)를 사용·수익하게 할 것을 약정하고, 상..."
농지(農地),"농지(農地) 농지라 함은 다음 각목의 1에 해당하는 토지를 말한다(농지법 제2조제1호). 
 
가. 전ㆍ답 또는 과수원 기타 그 법적 지목 여하에 불구하고 실제의 토지현상이 농작물의 경작 또는 다년성식물재배지(多年性植物栽培地)로 이용되는 토지. 다만, 초지법에 의하여 조성된 초지등 대통..."
"농지개량사업(農地改良事業, Farmland improvement project)","농지개량사업(農地改良事業, Farmland improvement project) 농촌근대화 촉진법에 의하여 시행되는 사업으로서, 
① 관개ㆍ배수시설, 농업용도로, 기타농지의 보존이나 그 이용에 필요한 시설(이하 농지개량 시설이라 한다)의 설치, 관리 ,변경 또는 폐합 
② 구획정리 ③ 개답 또는 개전 ④..."
"농지보전부담금(농지전용부담금 農地轉用負擔金, 전용부담금 轉用負擔金)","농지보전부담금 농지전용허가ㆍ신고를 받은 사람 또는 농지를 전용하려는 사람은 농지의 보전ㆍ관리 및 조성을 위한 농지보전부담금을 내야 합니다. 
 
☞ 농지보전부담금의 부과 및 납부 
 농지보전부담금이란? 농지보전부담금이란 농지전용허가를 받는 사람이 농지의 보전·관리 및 조성을 위..."
농지세(農地稅),농지세(農地稅) 농지에서 농작물을 재배하거나 농작물을 재배하게 함으로 인하여 얻은 소득이 있는 자는 농지소재지를 관할하는 시ㆍ군에 농지세를 납부할 의무가 있다(지방세법 제198조1항). 농지세에 대하여 소유자가 납세의무자가 아니고 경작자(耕作者)가 납세의무자가 되도록 법이 개정되었...
농지취득자격증명(農地取得資格證明),"농지취득자격증명(農地取得資格證明) 농지취득자격증명은 농지를 취득하는 자가 그 소유권에 관한 등기를 신청할 때에 첨부하여야 할 서류를 말한다. 원칙적으로 농지를 취득하고자 하는 자는 농지의 소재지를 관할하는 시장(구를 두지 아니한 시의 시장을 말하며, 도농복합형태의 시에 있어..."
농촌(農村),"농촌(農村) 농촌이라 함은 군의 지역을 의미한다. 또한, 광역시 및 직할시에 포함되지 않는 시의 지역중 농림부장관이 농촌소득의 증대를 위하여 필요하다고 인정하여 동법 제43조의 규정에 의한 중앙농정심의회의 심의를 거쳐 농촌으로 고시하는 지역도 농촌에 포함된다(농업ㆍ농어촌기본법..."
"다가구주택(多家口住宅, multiple dwellings)","다가구주택(多家口住宅, multiple dwellings) 다가구주택이란 단독주택의 일종으로, 주택으로 쓰이는 층수(지하층을 제외한다)가 3개층 이하이며, 1개 동의 주택으로 쓰이는 바닥면적(지하주차장 면적 제외)의 합계가 660제곱미터이하이고, 19세대 이하가 거주할 수 있는 주택으로서 공동주택에 ..."
다목적댐(多目的댐),"다목적댐(多目的댐) 다목적댐이라 함은 건설부장관이 하천법에 의하여 건설하는 댐으로서 그 저수를 발전ㆍ수도ㆍ공업 또는 농업의 용수, 홍수조절 기타의 용도(특정용도)중 2이상의 특정용도로 이용하는 것을 말하고, 여수로ㆍ부댐 기타 당해 댐과 일체가 되어 그 효용을 보전하는 시설 또는..."
"다세대주택(多世帶住宅, apartment unit in a private house)","다세대주택(多世帶住宅, apartment unit in a private house) 다세대주택이란 동당 건축연면적이 660제곱미터이하인 4층이하의 공동주택을 의미한다(주택건설촉진법시행령 제2조). 통계청의 정의에 의하면 다가구주택이란 한 건물 내에 여러 가구가 살 수 있도록 건축되어진 주택으로서 건물의..."
다중주택(多衆住宅),"다중주택(多衆住宅) 다중주택이란 학생 또는 직장인 등 다수인이 장기간 거주할 수 있는 구조로 되어 있고, 각 실은 독립된 주거의 형태가 아니며, 건물의 연면적이 330제곱미터 이하이고 층수가 3층 이하인 경우의 단독주택을 의미한다(건축법시행령 별표1). 속칭 벌집주택이라고도 부른다..."
"단독주택(單獨住宅, detached dwelling)","단독주택(單獨住宅, detached dwelling) 한 가구 혹은 19가구 이내의 가구가 거주가 주거생활을 영위할 수 있는 구조로 된 주택으로서, 공동주택의 범위에 포함되지 않은 주택을 의미한다. 건축법 상 단독주택에는 다중주택과 다가구주택, 공관이 포함된다(건축법시행령 별표1). 통계조사시..."
단독중개(單獨仲介),단독중개(單獨仲介) 단독중개 혹은 1인중개란 1개의 중개대상물에 대하여 1인의 중개업자가 단독으로 중개행위를 수행하는 것을 의미한다. 중개업법에서는 단독중개를 중심으로 중개행위를 규율하고 있다.
"단독중개계약(單獨仲介契約, Individual Listing Contract)","단독중개계약(單獨仲介契約, Individual Listing Contract) 공동중개계약에 대응되는 개념으로 1인의 중개의뢰인이 1인의 중개업자와 중개계약을 체결하는 것을 의미한다. 통상의 중개계약은 단독중개계약이며, 일반중개계약의 경우 1인의 중개의뢰인이 각각의 중개업자와 별개의 단독중개계약을..."
"단독행위(單獨行爲, unilateral act)","단독행위(單獨行爲, unilateral act) 단독행위라 함은 한 개의 의사표시만으로 성립하는 법률행위를 말한다. 예를 들어 취소원인이 있어 어떤 계약을 취소하는 것과 같이 일방적인 의사표시에 의하여 법률효과를 발생케 하는 법률행위이다. 취소나 추인의 경우와 같이 일정한 상대방에 대해..."
담보(擔保),담보(擔保) 계약의 당사자가 급부한 목적물 또는 권리에 하자가 있었던 경우에 지게 되는 손해배상 등의 책임을 말한다.
담보가등기(擔保假登記),담보가등기(擔保假登記) 담보가등기란 채권 담보의 목적으로 경료된 가등기를 말한다(가등기담보등에관한법률 제2조제3호). 담보가등기가 경료된 부동산에 대하여 경매등이 개시된경우에 담보가등기권리자는 다른 채권자보다 자기채권의 우선변제를 받을 권리가있다. 이 경우 그 순위에 관하여는 ...
"담보물권(擔保物權, real rights granted by way of security)","담보물권(擔保物權, real rights granted by way of security) 일정한 물건을 채권의 담보로 제공하는 것을 목적으로 하는 물권을 의미한다. 채권자는 채무자의 특정 재산에서 우선적으로 채권변제를 받을 수 있는 권리를 설정함으로써 담보물권을 취득하게 된다. 채권자와 채무자가 약속..."
담보책임(擔保責任),담보책임(擔保責任) 담보책임이라 함은 계약의 당사자가 급부한 목적물에 하자가 있는 경우에 부담하는 손해배상과 그 밖의 책임을 말한다. 예를 들어 매매의 목적인 재산권에 하자가 있어서 이로 말미암아 그 재산권의 전부 또는 일부를 이전할 수 없거나 또는 그 재산권의 객체인 물...
담합입찰(談合入札),담합입찰(談合入札) 입찰은 공개된 매매절차로서 입찰에 참여할 자 상호간의 경쟁에 의해 높은 가격으로 매수할 자에게 낙찰된다. 담합입찰이란 입찰에 참여할자들이 일정한 가격 이상으로는 매수하지 않을 것을 사전에 협의하고 행해지는 입찰을 의미한다. 종전의 법원경매와 같이 구두로 ...
답(沓),답(沓) 지적법에서는 지적법에서는 물을 직접 이용하여 벼ㆍ연ㆍ미나리ㆍ왕골등의 식물을 주로 재배하는 토지의 지목을 답으로 한다(지적법시행령 제5조). 답은 지적도에서 “답”으로 표기된다.
당연말소등기(當然抹消登記),"당연말소등기(當然抹消登記) 법원 경매에서 민사소송법 및 판례등에 의해 경락으로 인해 당연히 말소되는 등기로서, 이들 당연말소등기에 대항할 수 없는 후순위인 권리는 경매로 모두 말소된다. 당연말소등기란 경매신청등기, 저당권등기, 가등기담보등에관한법률에 의한 담보가등기, 가압류, ..."
대(垈),대(垈) 지적법에서는 영구적 건축물중 주거ㆍ사무실ㆍ점포와 박물관ㆍ극장ㆍ미술관등 문화시설과 이에 접속된 부속시설물의 부지 및 정원과 도시계획사업등 관계법령에 의한 택지조성사업을 목적으로 하는 공사가 준공된 토지의 지목은 대로 한다(지적법시행령 제5조). 대는 지적도에서 “대”로...
대기환경보전법(大氣環境保全法),"대기환경보전법(大氣環境保全法) 이 법은 대기오염으로 인한 국민건강 및 환경상의 위해를 예방하고 대기환경을 적정하게 관리ㆍ보전함으로써 모든 국민이 건강하고 쾌적한 환경에서 생활할 수 있게 함을 목적으로(제1조), 1990.8.1 법률제4262호로 제정된 법률이다."
"대리(代理, agency, represntation)","대리(代理, agency, represntation) 대리라 함은 타인(대리인)이 본인의 이름으로 제3자에게 법률행위(의사표시)를 하거나 또는 의사표시를 수령함으로써 그 법률효과가 직접 본인에 관하여 발생되는 제도를 말한다. 근대법에서 완성된 제도로서 본인의 행동범위를 넓게 확장하고, 또한 의사..."
"대리권(代理權, agent, represntative)","대리권(代理權, agent, represntative) 대리권(한)이라 함 대리인이 가지는 대리행위를 할 수 있는 법률상의 지위 또는 자격을 말한다. 대리는 대리인이 행한 행위의 효과가 직접 본인에게 귀속하는 제도이므로 대리인에게는 대리권이 필요하다. 대리권이 없는 대리행위를 무권대리라고 부..."
"대리상(代理商, agent)","대리상(代理商, agent) 일정한 상인을 위하여 상업사용인이 아니면서 상시 그 영업의 부류에 속하는 거래의 대리 또는 중개를 영업으로 하는 독립된 상인을 의미한다(상법 제87조). 즉, 영업주의 기업조직 안에 들어가 종속관계에 있는 상업사용인과는 다른 독립된 상인이다. 대리상은 일정..."
대리입찰(代理入札),대리입찰(代理入札) 대리입찰이란 본인을 대신하여 대리인에 경매에 참여하는 것을 의미한다. 경매에 있어서 입찰행위는 소송행위라고 말할 수 없으므로 별도의 대리비용을 받지 않는 한 대리인은 변호사가 아니라고 하더라도 상관없으며 또한 대리행위에 대하여 법원의 허가를 받지 않아도...
"대상도시(帶狀都市, belt line city, linear city)","대상도시(帶狀都市, belt line city, linear city) 대상도시란 도로를 따라 가늘고 긴 띠 모양으로 형성된 도시를 의미한다."
대수선(大修繕),"대수선(大修繕) 대수선이라 함은 건축물의 주요구조부에 대한 수선 또는 변경을 하거나 건축물의 외부형태의 변경을 하는 행위를 의미하는 것으로, 건축법 제3조의2에서는 증축ㆍ개축 또는 재축에 해당하지 아니하는 것으로 다음 중 한가지 이상에 해당하는 것을 의미한다(건축법 제2조제10..."
대위(代位),대위(代位) 권리의 주체 또는 객체인 지위에 대신한다는 의미의 용어로 민법상 여러 가지 경우에 쓰인다. 민법 제342조의 물상대위는 담보물권의 효력이 그 목적물에 대신하는 것 위에 미치는 것을 말한다. 민법 제404조의 채권자의 대위권은 대위자(채권자)가 피대위자의 지위를 대신하여...
대위변제(代位辨濟),"대위변제(代位辨濟) 대위변제란 제3자 또는 공동채무자 등이 채무자를 위하여 변제를 함으로써 구상권을 취득한 경우에, 변제자가 그 구상권의 범위 내에서 채권자의 채권 및 그 담보에 관한 권리를 행사할 수 있는 제도를 말한다. 경매시 제3자나 공동의 채권자가 채무자의 빚을 갚는 ..."
대지(垈地),"대지(垈地) 건축물이 축조되어 있는 토지의 단위 또는 건축을 위한 한 단위의 토지를 의미한다. 건축법에서는 대지란 지적법에 의하여 각 필지로 구획된 토지를 의미하며, 다음의 건축법시행령에서 정한 토지에 대하여는 2이상의 필지를 하나의 대지로 하거나 1이상의 필지의 일부를 하나..."
대지면적(垈地面積),"대지면적(垈地面積) 건축법에서 건축물의 대지면적은 대지의 수평투영면적을 의미한다. 다만, 건축법에 의해 대지안에 건축선이 정하여진 경우에는 그 건축선과 도로사이의 대지면적을 포함하지 아니한다(건축법시행령 제119조제1항제1호)."
대지사용권(垈地使用權) = 대지권(垈地權),대지사용권(垈地使用權) = 대지권(垈地權) 대지사용권 혹은 대지권이란 집합건물의소유및관리에관한법률에 의거 1985.4.10일부터 인정된 권리로서 구분소유자가 전유부분을 소유하기 위하여 건물의 대지에 대하여 가지는 권리를 말한다(법 제2조제6호). 동법 제20조1항에 ‘구분 소유자의 대지사용...
"대축척지도(大縮尺地圖, large scale map)","대축척지도(大縮尺地圖, large scale map) 대축척지도란 지도의 축소율이 적고 표현이 상세한 지도를 말한다. 보통 10만분의 1 보다 축척이 큰 지도를 말한다. 실측도로서 평판측량. 항공사진측량 등에 의해 만들어지며 도시계획용, 공사용등 구체적인 설계에 많이 이용된다. 지도의 수평위치..."
대항력(對抗力),"대항력(對抗力) 대항력이란 타인에게 적법한 권리를 주장할 수 있는 권리를 의미한다. 주택임대차보호법에서 인정한 대항력이란 주택임차인이 주택의 점유와 주민등록을 마친 때에는, 임차주택이 매매나 경매 등에 의하여 주인이 바뀌는 경우에도 새로운 임차주택의 소유자에 대하여 계속 임..."
댐(dam),"댐(dam) 댐이라 함은 하천의 흐름을 막아 그 저수를 생활 및 공업의 용수, 농업의 용수, 발전, 홍수조절 기타의 용도(특정용도)로 이용하기 위한 높이 15미터이상의 공작물을 말하며, 여수로(餘水路)ㆍ보조댐 기타 당해 댐과 일체가 되어 그 효용을 다하게 하는 시설 또는 공작물을 포함..."
댐건설예정지역,"댐건설예정지역 건설교통부장관이 지정한 댐건설에 필요한 일정지역(댐건설로 인한 수몰예정지역을 포함한다)을 의미한다. 다만, 시ㆍ도지사가 건설하는 댐의 경우에는 당해 댐이 건설되는 하천의 관리청이 댐건설예정지역을 지정한다(댐건설및주변지역지원등에관한법률 제5조제1항). 댐건설예정지역안..."
"도근점(圖根點, supplementary control, miner control)","도근점(圖根點, supplementary control, miner control) 도근점이란 지적측량을 위한 기준점으로, 이미 설치된 삼각점만으로는 세부측량시행시 그 수량이 불충분하여 새로히 측설하는 보조기준점이다."
도급(都給),"도급(都給) 도급이라 함은 당사자 일방(수급인)이 어떤 일을 완성할 것을 약정하고 상대방(도급인)이 그 일의 결과에 대하여 보수를 지급할 것을 약정함으로써 성립하는 낙성, 유상, 쌍무, 불요식의 계약을 말한다(민법 제644조). 구민법상에서는 請負(청부)라 하였다. 수급인은 일의 완성과 ..."
도넛현상(doughnut pattern) = 도심공동화(都心空洞化),"도넛현상(doughnut pattern) = 도심공동화(都心空洞化) 도넛현상 혹은 도심공동화현상 이란 도시가 발전하면 중심부의 주택지가 상업지등으로 이용되어, 도시의 중심에서는 거주하는 인구가 없는 것을 의미하는 것으로, 공동화하는 상태가 도넛과 비슷하다고 해서 도넛현상이라고 한다."
도농복합형태시(都農複合形態市),"도농복합형태시(都農複合形態市) 지방자치법에서는 다음의 경우 도농복합형태이 시(市)로 정할 수 있도록 규정하고 있다. 
1. 기존의 시와 군을 통합한 지역 
2. 인구 5만이상의 도시형태를 갖춘 지역이 있는 군으로서 다음의 요건을 갖춘 지역 가. 당해 지역의 상업ㆍ공업 기타 도시적 산업..."
"도로(道路, road)","도로(道路, road) 지적법에서는 일반공중의 교통운수를 목적으로 보행 또는 차량운행에 필요한 일정한 설비 또는 형태를 갖추어 이용되는 토지와 관계법령에 의하여 도로로 개설된 토지 또는 2필지 이상의 대지에 진입하는 통로로 이용되는 토지의 지목은 도로로 한다(지적법시행령 제5조)..."
도로법(道路法),"도로법(道路法) 도로에 관한 기본적인 법률로서, 도로의 종류, 노선의 지정 및 인정, 도로의 관리, 시설기준, 보전 및 도로에 관한 비용, 수입 및 공용부담, 감독, 벌칙등에 대하여 규정하고 있다."
도로보전입체구역(道路保全立體區域),도로보전입체구역(道路保全立體區域) 도로의 관리청은 도로법 제25조의 규정에 의하여 도로구역을 결정 또는 변경하는 경우 당해 도로가 있는 지역의 적정하고 합리적인 토지이용을 촉진하기 위하여 필요하다고 인정하는 때에는 지상 또는 지하의 공간에 대하여 상하의 범위를 정한 입체적 ...
도립공원(道立公園),도립공원(道立公園) 도립공원이라 함은 특별시ㆍ광역시 및 도내의 풍경을 대표할 만한 국립공원 이외의 수려한 자연풍경지로서 자연공원법 제5조의 규정에 의하여 지정된 것을 말한다(자연공원법 제2조제3호)
도배(塗褙),"도배(塗褙) 도배란 일반적으로 건물의 내벽에 각종 문양이 그려진 도배지나 비단등의 천을 부착하여 내벽면을 치장하는 방법으로 주택의 거실이나 방, 사무실 내부공간의 인테리어에 사용된다."
도서관(圖書館),도서관(圖書館) 도서관이라 함은 도서관자료를 수집ㆍ정리ㆍ분석ㆍ보존ㆍ축적하여 공중 또는 특정인의 이용에 제공함으로써 정보이용ㆍ조사ㆍ연구ㆍ학습ㆍ교양등 문화발전 및 평생교육에 이바지하는 시설을 말한다(도서관및독서진흥법 제2조제1호).
도시개발구역(都市開發區域),도시개발구역(都市開發區域) 도시개발구역이라 함은 도시개발사업을 시행하기 위하여 도시개발사업법 제3조 및 제9조의 규정에 의하여 지정?고시된 구역을 말한다(도시개발사업법 제2조제1호
도시개발사업(都市開發事業),도시개발사업(都市開發事業) 도시개발사업이라 함은 도시개발구역안에서 주거ㆍ상업ㆍ산업ㆍ유통ㆍ정보통신ㆍ생태ㆍ문화ㆍ보건 및 복지 등의 기능을 가지는 단지 또는 시가지를 조성하기 위하여 시행하는 사업을 말한다(도시개발사업법 제2조제2호).
도시개발업무지침(都市開發業務指針),도시개발업무지침(都市開發業務指針) 도시개발업무지침이란 도시개발법 제5조 및 동법시행령 제25조 등 도시개발법령에서 건설교통부장관이 정하도록 한 사항과 기타 도시개발사업의 시행상 필요한 세부적인 사항을 정함으로써 도시개발사업이 원활히 수행될 수 있도록 함을 목적으로 건설교통부...
"도시계획(都市計劃, town planning, city planning)","도시계획(都市計劃, town planning, city planning) 도시계획이란 도시의 현재에서 장래에 걸친 종합적인 토지이용계획을 의미한다. 이를 위하여 토지의 용도 및 용적 이용계획을 근간으로 하여 모든 공공적 시설의 계획, 즉 가로ㆍ철도ㆍ공원ㆍ묘지ㆍ상하수도ㆍ소각장 등 제시설의 계획이..."
도시계획구역(都市計劃區域),"도시계획구역(都市計劃區域) 도시계획이 실시될 구역으로 도시계획법이 적용받는 지역적 범위이다. 도시계획구역은 행정구역의 범위와 대체로 일치하나, 반드시 일치하는 것은 아니다. 도시계획법에서는 도시계획구역이라 함은 도시계획의 수립대상이 되는 지역으로서 동법 제30조의 규정에 의하..."
"도시계획도(都市計劃圖, city planning map, town planning map)","도시계획도(都市計劃圖, city planning map, town planning map) 도시계획도란 도시 계획의 입안에 필요한 조사 자료로서의 각종 현황도, 지역ㆍ지구나 가로등의 계획 내용을 나타내는 계획도, 토지구획정리사업 등의 설계도 등을 의미한다."
도시계획법(都市計劃法),도시계획법(都市計劃法) 도시계획법이란 도시의 개발ㆍ정비ㆍ관리ㆍ보전 등을 위한 도시계획의 수립 및 집행에 관하여 필요한 사항을 규정함으로써 공공의 안녕질서를 보장하고 공공복리를 증진하며 주민의 삶의 질을 향상하게 함을 목적으로 제정된 법률로서 2000.1.28. 법률 제6243호로 전문...
"도시계획사업(都市計劃事業, town planning work)","도시계획사업(都市計劃事業, town planning work) 도시계획으로서 결정된 시설을 조성하기 위한 사업을 의미한다."
도시계획세(都市計劃稅),도시계획세(都市計劃稅) 도시계획세는 도시계획사업에 필요한 비용에 충당하기 위하여 도시계획법의 규정에 의하여 고시한 도시계획구역의 전구역 또는 일부의 구역안에 있는 토지 또는 건축물을 과세객체(課稅客體)로 하여 그 소재지를 관할하는 서울특별시ㆍ광역시 또는 시ㆍ군에서 그 소유자...
도시계획시설(都市計劃施設),도시계획시설(都市計劃施設) 도시계획시설이라 함은 도시기반시설중 도시계획법에 의하여 도시계획으로 결정된 시설을 말한다(동법 제2조제7호).
"도시기반시설(都市基盤施設, Infra structure)","도시기반시설(都市基盤施設, Infra structure) 도시기반시설이란 도시생활에 있어서 필수적인 시설을 의미하며, 이 시설로는 도로, 전기, 전화, 주택, 상하수도 등을 포함하여 이외에도 병원, 학교, 위락시설도 도시기반 시설로 불리고 있다. 도시계획법에서는 도시계획으로 결정하여 설치할 ..."
"도시기본계획(都市基本計劃, Master plan, General plan)","도시기본계획(都市基本計劃, Master plan, General plan) 도시기본계획이란 도시의 중요 시설 전반에 관하여 입안한 기본적이고 종합적인 계획을 말한다. 그 주된 내용은 토지이용계획과 교통 시설 계획, 공원 녹지 계획, 공급 처리 시설계획으로 이루어진다. 도시계획법에서는 도시기본계획..."
도시발전종합대책(都市發展綜合對策),"도시발전종합대책(都市發展綜合對策) 도시발전종합대책이란 전국 도시지역의 균형되고 지속가능한 발전을 위한 정책방향을 제시하고 이를 위한 국가의 시책을 종합한 대책으로서, 건설교통부장관은 5년마다 대책을 수립하여야 한다(도시계획법 제4조, 시행령 제5조). 이 대책에는 다음과 같은 사..."
"도시재개발(都市再開發, Redevelopment urban renewal)","도시재개발(都市再開發, Redevelopment urban renewal) 도시재개발이란 건물 및 토지이용상태가 악화되고 도시기능이 현저히 약화된 지역에 대하여 공공시설 및 건물을 정비하고 시가지의 기능을 회복하고자 하는 계획을 의미한다. 1958년 헤이그의 국제세미나에서 도시재개발의 이념이 확립..."
"도시재개발법(都市再開發法, law of urban renewal)","도시재개발법(都市再開發法, law of urban renewal) 도시재개발법은 도시의 계획적인 재개발에 관하여 필요한 사항을 규정함으로써 재개발사업을 촉진하고 도시의 건전한 발전과 공공복리의 증진에 기여함을 목적으로 제정된 법률로서 1995.12.29 법률제5109호로 전문개정 되었다. 이 법에서의..."
도시저소득주민의주거환경개선을위한임시조치법,도시저소득주민의주거환경개선을위한임시조치법 이 법은 도시의 저소득주민밀집거주지역의 주거환경개선을 위하여 필요한 사항을 정함으로써 도시의 저소득주민의 복지증진과 도시환경개선에 이바지함을 목적으로 1989.4.1 법률제4115호로 제정된 법률이다. 이 법에서는 도시저소득주민의 주거환경개...
도시지역(都市地域),"도시지역(都市地域) 국토이용관리법에서 도시지역이란 도시계획법상의 도시계획에 의하여 당해 지역의 개발ㆍ정비ㆍ관리ㆍ보전 등을 시행하였거나 시행할 지역과 택지개발예정지구, 국가산업단지, 지방산업단지, 전원개발사업구역 및 예정구역(수력발전소 및 송ㆍ변전시설부지를 제외한다)으로 지정하여..."
도심(都心),"도심(都心) 도심은 도시지역 중 접근성이 높아 높은 지대(地代)를 얻을 수 있고, 지가도 비싸 고층화가 이루어지고 있는 지역으로서, 고급 전문 상점, 백화점, 금융, 무역 및 각종 기업의 본사, 언론, 행정 등의 중추 관리 기능들이 집중하여 중심 업무 지구(CBD)를 형성한다."
"도해지적(圖解地籍, graphical cadastral)","도해지적(圖解地籍, graphical cadastral) 토지의 경계점을 그림으로 도면에 표시하는 지적제도로서 우리나라에서는 지적제도 창설당시 채택된 제도로서 전국의 토지가 거의 도해지적이며, 신지적법에서의 수치지적과 대립되는 개념이라 하겠다."
독도(讀圖),"독도(讀圖) 지도에서 어떤 지점의 위치, 지점간의 거리, 상대적 위치, 기타 단순한 지리적 사실을 찾기 위한 행동을 독도라 한다. 지도의 내용은 축척, 위치, 방법, 기복의 표현. 기호로 세분되는 것으로, 이들 내용을 종합적으로 판단하는 작업을 독도라고 할 수 있다."
"독점중개계약(獨占仲介契約：Exclusive Listing Contract) = 독점민사중개계약(獨占民事仲介契約), 독점중개의뢰계약(獨占仲介依賴契約)","독점중개계약(獨占仲介契約：Exclusive Listing Contract) = 독점민사중개계약(獨占民事仲介契約), 독점중개의뢰계약(獨占仲介依賴契約) 중개의뢰인이 특정 중개업자에게 독점적으로 중개할 권한을 부여하는 중개계약 형태이다. 계약기간내에 중개업자는 누구에 의하여 중개가 완성되었는가를 불문하..."
"동산(動産, movables, chattels)","동산(動産, movables, chattels) 동산이라 함은 부동산 이외의 물건을 말한다. 민법 제99조제2항에서는 부동산 이외의 물건은 모두 동산이라고 규정하고 있다. 그러나 동산으로부터 부동산으로의 진행과정에 있는 건축중의 건물이나, 그 반대과정에 있는 철거중의 건물의 경우에는 그것이 동..."
동산물권(動産物權),"동산물권(動産物權) 그 객체가 되는 물건이 동산이면 동산물권(動産物權), 부동산이면 부동산물권(不動産物權)이라 한다. 특정한 동산을 직접 지배하는 배타적 권리이다. 동산물권의 변동은 의사표시에 합치된 인도에 의하여 그 효력이 생긴다. 물권 중 용익물권과 저당권은 동산에 성립되지 ..."
동시이행항변권(同時履行抗辯權),동시이행항변권(同時履行抗辯權) 동시이행의 항변권이라 함은 매매와 같은 쌍무계약에 있어서 당사자 일방이 상대방의 채무이행이 있을 때까지 자기의 채무이행을 거절할 수 있는 권리를 말한다. 동시이행의 항변권은 비단 매매의 경우뿐만이 아니라 모든 쌍무계약에 있어서 발생하는 것이다...
동식물관련시설,"동식물관련시설 건축법상의 용어로서 동물 및 식물관련시설에는 다음의 시설이 포함된다(건축법시행령 별표1). 
가. 축사(양잠ㆍ양봉ㆍ양어시설 및 부화장 등을 포함한다) 
나. 가축시설(가축용운동시설, 인공수정센터, 관리사, 가축용창고, 가축시장, 동물 검역소, 실험동물사육시설 기타 이와 유사..."
동일수급권(同一需給圈),"동일수급권(同一需給圈) 동일수급권이라 함은 부동산감정평가에서 사용되는 용어로서 일반적으로 당해 부동산과 대체ㆍ경쟁관계가 성립하고 가격형성에 상호영향을 미치는 관계에 있는 다른 부동산이 존재하는 권역을 말하며, 인근지역과 유사지역을 포함한다."
"등고선(等高線, contour, contour line)","등고선(等高線, contour, contour line) 지도에서 높이가 같은 지점들 사이를 연결한 선을 등고선이라 한다. 지도에서 등고선은 대상지역의 경사도 등 지형을 손쉽게 파악할 수 있는 정보를 제공한다. 1/50000지도에서는 주곡선 사이의 높이 간격은 20m이며, 1:25,000지도에서는 주곡선 ..."
등기(登記),등기(登記) 등기라 함은 일정한 법률관계를 널리 사회에 공시하기 위하여 등기공무원이라는 국가기관이 법정절차에 따라 등기부라는 공적장부에 일정한 권리관계를 기재하는 것을 말한다. 거래관계에 들어가는 제3자를 위하여 목적물의 권리내용을 명백히 하고 예측하지 못한 손해를 입히지 ...
"등기부(登記簿, register)","등기부(登記簿, register) 등기사항을 기입하기 위하여 등기소에 비치되는 공적인 장부를 말한다. 부동산등기부(토지등기부와 건물등기부로 나누어진다)와 상업등기부, 공장재단등기부 등이 있다. 부동산등기부의 용지는 표제부(물건의 표시)와 갑구란(소유권), 을구란(소유권 이외의 권리)의 3부분으..."
등기부등본(登記簿謄本),"등기부등본(登記簿謄本) 등기부의 내용을 복사한 문서를 의미한다. 수수료를 납부함으로써 누구라도 그 등본의 교부를 청구할 수 있다. 전부를 등사한 것이 등본이고, 일부를 등사한 것이 초본인데 모두 등기내용에 상위 없음이 증명된다."
등기청구권(登記請求權),"등기청구권(登記請求權) 등기권리자가 등기의무자에 대하여 등기의 신청에 협력할 것을 청구하는 권리를 말한다. 등기는 양 당사자의 공동신청으로 하는 것이 원칙이므로, 등기청구권이 없으면 등기제도는 실효를 거둘 수 없게 된다. 등기청구권은 이른바 등기신청권과 구별된다. 등기신청권은..."
